package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4,t-Test: Two-Sample Assuming Equal Variances,,text,11,Mean | Variance | Observations | Pooled Variance | Hypothesized Mean Difference,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4,column_2,,mixed_numeric_text,12,Variable 1 | 24.441716819765567 | 608.6515664555645 | 44 | 606.7676098295681,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4,column_3,,mixed_numeric_text,4,Variable 2 | 24.432674242828515 | 604.8836532035716 | 44,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4,column_4,,empty,0,,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4,column_5,,mixed_numeric_text,3,standard error | 5.251699334629126,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4(2),Anova: Single Factor,,text,9,SUMMARY | Groups | Column 1 | Column 2 | ANOVA,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 10 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4(2),column_2,,mixed_numeric_text,7,Count | 44 | SS | 0.0017989003608818166 | 52182.014445342844,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 10 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4(2),column_3,,mixed_numeric_text,7,Sum | 1075.435540069685 | 1075.0376666844547 | df | 1,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 10 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4(2),column_4,,mixed_numeric_text,6,Average | 24.441716819765567 | 24.432674242828515 | MS | 0.0017989003608818166,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 10 non-empty rows from worksheet.
paper-2018-08,Choice Of High Occupancy/Toll Lanes Under Alternative Pricing Strategies,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2018-08-choice-of-high-occupancy-toll-lanes-under-alternative-pricing-strategies,data/derived_model_workbook/elasticity_points_2_offset_2.xlsx,4(2),column_5,,mixed_numeric_text,5,Variance | 608.6515664555645 | 604.8836532035716 | F | 2.964727074649059e-06,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 10 non-empty rows from worksheet.
